Family	Hotel	Park	Day
Baldwin	Loxodon Lodge	Jumbo Kingdom	Sunday
Griffith	Tusk Hotel	World's Fair	Friday
Griffith	Tusk Hotel	Jumbo Kingdom	Saturday
Griffith	Tusk Hotel	Jumbo Kingdom	Sunday
Valdez	Trunk Inn	Jumbo Kingdom	Friday
Valdez	Trunk Inn	Jumbo Studios	Saturday
Valdez	Trunk Inn	Trunk Water Park	Sunday
Hubbard	Tusk Hotel	Jumbo Kingdom	Friday
Hubbard	Tusk Hotel	World's Fair	Saturday
Hubbard	Tusk Hotel	Animal Planet Zoo	Sunday
Salazar	Oliphant Camp	Jumbo Studios	Friday
Salazar	Oliphant Camp	Jumbo Golf Course	Saturday
Salazar	Oliphant Camp	Animal Planet Zoo	Sunday
Reeves	Mammoth Motel	Trunk Water Park	Friday
Reeves	Mammoth Motel	Jumbo Studios	Saturday
Reeves	Mammoth Motel	Animal Planet Zoo	Sunday
Warner	Trunk Inn	Jumbo Kingdom	Friday
Warner	Trunk Inn	Trunk Water Park	Saturday
Warner	Trunk Inn	Jumbo Studios	Sunday
Stevenson	Mammoth Motel	Animal Planet Zoo	Friday
Stevenson	Mammoth Motel	Jumbo Kingdom	Saturday
Stevenson	Mammoth Motel	Jumbo Kingdom	Sunday
Burgess	Pachyderm Suites	Jumbo Kingdom	Friday
Burgess	Pachyderm Suites	World's Fair	Saturday
Burgess	Pachyderm Suites	World's Fair	Sunday
Santos	Pachyderm Suites	World's Fair	Friday
Santos	Pachyderm Suites	World's Fair	Saturday
Santos	Pachyderm Suites	Jumbo Kingdom	Sunday
Tate	Tusk Hotel	Jumbo Kingdom	Friday
Tate	Tusk Hotel	Jumbo Golf Course	Saturday
Tate	Tusk Hotel	Animal Planet Zoo	Sunday
Cross	Pachyderm Suites	World's Fair	Friday
Cross	Pachyderm Suites	Jumbo Studios	Saturday
Cross	Pachyderm Suites	Jumbo Studios	Sunday
Garner	Elephant Lodge	Jumbo Studios	Friday
Garner	Elephant Lodge	Trunk Water Park	Saturday
Garner	Elephant Lodge	Animal Planet Zoo	Sunday
Mann	Mammoth Motel	Jumbo Studios	Friday
Mann	Mammoth Motel	World's Fair	Saturday
Mann	Mammoth Motel	World's Fair	Sunday
Mack	Mammoth Motel	Jumbo Studios	Friday
Mack	Mammoth Motel	Animal Planet Zoo	Saturday
Mack	Mammoth Motel	World's Fair	Sunday
Moss	Oliphant Camp	Jumbo Studios	Friday
Moss	Oliphant Camp	World's Fair	Saturday
Moss	Oliphant Camp	Jumbo Kingdom	Sunday
Thornton	Tusk Hotel	Jumbo Kingdom	Friday
Thornton	Tusk Hotel	Jumbo Studios	Saturday
Thornton	Tusk Hotel	Trunk Water Park	Sunday
Dennis	Oliphant Camp	Jumbo Golf Course	Friday
Dennis	Oliphant Camp	Jumbo Golf Course	Saturday
Dennis	Oliphant Camp	Jumbo Kingdom	Sunday
Mcgee	Loxodon Lodge	Jumbo Studios	Friday
Mcgee	Loxodon Lodge	Jumbo Studios	Saturday
Mcgee	Loxodon Lodge	Animal Planet Zoo	Sunday
Farmer	Trunk Inn	Jumbo Kingdom	Friday
Farmer	Trunk Inn	Animal Planet Zoo	Saturday
Farmer	Trunk Inn	Animal Planet Zoo	Sunday
Delgado	Elephant Lodge	Jumbo Studios	Friday
Delgado	Elephant Lodge	Animal Planet Zoo	Saturday
Delgado	Elephant Lodge	Jumbo Kingdom	Sunday
Aguilar	Trunk Inn	Jumbo Studios	Friday
Aguilar	Trunk Inn	World's Fair	Saturday
Aguilar	Trunk Inn	Jumbo Kingdom	Sunday
Vega	Tusk Hotel	World's Fair	Friday
Vega	Tusk Hotel	Jumbo Kingdom	Saturday
Vega	Tusk Hotel	Trunk Water Park	Sunday
Glover	Trunk Inn	Animal Planet Zoo	Friday
Glover	Trunk Inn	Jumbo Kingdom	Saturday
Glover	Trunk Inn	Jumbo Kingdom	Sunday
Manning	Trunk Inn	Jumbo Kingdom	Friday
Manning	Trunk Inn	Trunk Water Park	Saturday
Manning	Trunk Inn	Jumbo Studios	Sunday
Cohen	Mouse Resort	Jumbo Golf Course	Friday
Cohen	Mouse Resort	Jumbo Kingdom	Saturday
Cohen	Mouse Resort	Jumbo Studios	Sunday
Harmon	Trunk Inn	Jumbo Kingdom	Friday
Harmon	Trunk Inn	Jumbo Kingdom	Saturday
Harmon	Trunk Inn	Jumbo Studios	Sunday
Rodgers	Mammoth Motel	Animal Planet Zoo	Friday
Rodgers	Mammoth Motel	Jumbo Studios	Saturday
Rodgers	Mammoth Motel	Jumbo Kingdom	Sunday
Robbins	Tusk Hotel	World's Fair	Friday
Robbins	Tusk Hotel	Jumbo Kingdom	Saturday
Robbins	Tusk Hotel	Jumbo Kingdom	Sunday
Newton	Oliphant Camp	Jumbo Kingdom	Friday
Newton	Oliphant Camp	World's Fair	Saturday
Newton	Oliphant Camp	Jumbo Studios	Sunday
Todd	Loxodon Lodge	Jumbo Studios	Friday
Todd	Loxodon Lodge	Trunk Water Park	Saturday
Todd	Loxodon Lodge	World's Fair	Sunday
Blair	Mouse Resort	Jumbo Golf Course	Friday
Blair	Mouse Resort	Jumbo Kingdom	Saturday
Blair	Mouse Resort	Jumbo Kingdom	Sunday
Higgins	Tusk Hotel	Jumbo Kingdom	Friday
Higgins	Tusk Hotel	World's Fair	Saturday
Higgins	Tusk Hotel	World's Fair	Sunday
Ingram	Oliphant Camp	Jumbo Studios	Friday
Ingram	Oliphant Camp	World's Fair	Saturday
Ingram	Oliphant Camp	Animal Planet Zoo	Sunday
Reese	Trunk Inn	Jumbo Kingdom	Friday
Reese	Trunk Inn	Animal Planet Zoo	Saturday
Reese	Trunk Inn	Trunk Water Park	Sunday
Cannon	Mammoth Motel	Trunk Water Park	Friday
Cannon	Mammoth Motel	Animal Planet Zoo	Saturday
Cannon	Mammoth Motel	World's Fair	Sunday
Strickland	Tusk Hotel	Jumbo Studios	Friday
Strickland	Tusk Hotel	Jumbo Kingdom	Saturday
Strickland	Tusk Hotel	Jumbo Kingdom	Sunday
Townsend	Tusk Hotel	World's Fair	Friday
Townsend	Tusk Hotel	Jumbo Studios	Saturday
Townsend	Tusk Hotel	Trunk Water Park	Sunday
Potter	Pachyderm Suites	Animal Planet Zoo	Friday
Potter	Pachyderm Suites	Animal Planet Zoo	Saturday
Potter	Pachyderm Suites	Jumbo Kingdom	Sunday
Goodwin	Tusk Hotel	Trunk Water Park	Friday
Goodwin	Tusk Hotel	Animal Planet Zoo	Saturday
Goodwin	Tusk Hotel	Jumbo Kingdom	Sunday
Walton	Tusk Hotel	World's Fair	Friday
Walton	Tusk Hotel	Jumbo Kingdom	Saturday
Walton	Tusk Hotel	Trunk Water Park	Sunday
Rowe	Loxodon Lodge	Animal Planet Zoo	Friday
Rowe	Loxodon Lodge	Jumbo Studios	Saturday
Rowe	Loxodon Lodge	Trunk Water Park	Sunday
Hampton	Tusk Hotel	Trunk Water Park	Friday
Hampton	Tusk Hotel	World's Fair	Saturday
Hampton	Tusk Hotel	Animal Planet Zoo	Sunday
Ortega	Trunk Inn	Jumbo Kingdom	Friday
Ortega	Trunk Inn	World's Fair	Saturday
Ortega	Trunk Inn	Animal Planet Zoo	Sunday
Patton	Pachyderm Suites	Jumbo Studios	Friday
Patton	Pachyderm Suites	Jumbo Studios	Saturday
Patton	Pachyderm Suites	World's Fair	Sunday
Swanson	Trunk Inn	Trunk Water Park	Friday
Swanson	Trunk Inn	Jumbo Kingdom	Saturday
Swanson	Trunk Inn	Jumbo Studios	Sunday
Joseph	Elephant Lodge	Trunk Water Park	Friday
Joseph	Elephant Lodge	Jumbo Studios	Saturday
Joseph	Elephant Lodge	Jumbo Studios	Sunday
Francis	Trunk Inn	Jumbo Studios	Friday
Francis	Trunk Inn	Jumbo Kingdom	Saturday
Francis	Trunk Inn	World's Fair	Sunday
Goodman	Trunk Inn	Jumbo Golf Course	Friday
Goodman	Trunk Inn	Jumbo Kingdom	Saturday
Goodman	Trunk Inn	Jumbo Studios	Sunday
Maldonado	Oliphant Camp	Trunk Water Park	Friday
Maldonado	Oliphant Camp	Trunk Water Park	Saturday
Maldonado	Oliphant Camp	Jumbo Kingdom	Sunday
Yates	Loxodon Lodge	World's Fair	Friday
Yates	Loxodon Lodge	Trunk Water Park	Saturday
Yates	Loxodon Lodge	Jumbo Studios	Sunday
Becker	Trunk Inn	Trunk Water Park	Friday
Becker	Trunk Inn	Jumbo Kingdom	Saturday
Becker	Trunk Inn	Jumbo Kingdom	Sunday
Erickson	Elephant Lodge	Jumbo Kingdom	Friday
Erickson	Elephant Lodge	World's Fair	Saturday
Erickson	Elephant Lodge	Trunk Water Park	Sunday
Hodges	Mammoth Motel	Jumbo Studios	Friday
Hodges	Mammoth Motel	Jumbo Kingdom	Saturday
Hodges	Mammoth Motel	World's Fair	Sunday
Rios	Tusk Hotel	Jumbo Kingdom	Friday
Rios	Tusk Hotel	World's Fair	Saturday
Rios	Tusk Hotel	Animal Planet Zoo	Sunday
Conner	Oliphant Camp	World's Fair	Friday
Conner	Oliphant Camp	Jumbo Golf Course	Saturday
Conner	Oliphant Camp	Animal Planet Zoo	Sunday
Adkins	Mammoth Motel	World's Fair	Friday
Adkins	Mammoth Motel	Trunk Water Park	Saturday
Adkins	Mammoth Motel	Jumbo Studios	Sunday
Webster	Loxodon Lodge	Jumbo Studios	Friday
Webster	Loxodon Lodge	Jumbo Studios	Saturday
Webster	Loxodon Lodge	Jumbo Golf Course	Sunday
Norman	Oliphant Camp	Jumbo Studios	Friday
Norman	Oliphant Camp	Jumbo Kingdom	Saturday
Norman	Oliphant Camp	World's Fair	Sunday
Malone	Mammoth Motel	Jumbo Studios	Friday
Malone	Mammoth Motel	Jumbo Studios	Saturday
Malone	Mammoth Motel	World's Fair	Sunday
Hammond	Tusk Hotel	Jumbo Kingdom	Friday
Hammond	Tusk Hotel	World's Fair	Saturday
Hammond	Tusk Hotel	Animal Planet Zoo	Sunday
Flowers	Loxodon Lodge	Jumbo Studios	Friday
Flowers	Loxodon Lodge	World's Fair	Saturday
Flowers	Loxodon Lodge	Jumbo Golf Course	Sunday
Cobb	Mammoth Motel	Jumbo Studios	Friday
Cobb	Mammoth Motel	Animal Planet Zoo	Saturday
Cobb	Mammoth Motel	World's Fair	Sunday
Moody	Pachyderm Suites	World's Fair	Friday
Moody	Pachyderm Suites	Jumbo Kingdom	Saturday
Moody	Pachyderm Suites	Animal Planet Zoo	Sunday
Quinn	Tusk Hotel	Jumbo Studios	Friday
Quinn	Tusk Hotel	Jumbo Studios	Saturday
Quinn	Tusk Hotel	World's Fair	Sunday
Blake	Mammoth Motel	World's Fair	Friday
Blake	Mammoth Motel	Jumbo Kingdom	Saturday
Blake	Mammoth Motel	Trunk Water Park	Sunday
Maxwell	Mouse Resort	Trunk Water Park	Friday
Maxwell	Mouse Resort	Jumbo Studios	Saturday
Maxwell	Mouse Resort	Jumbo Studios	Sunday
Pope	Oliphant Camp	Trunk Water Park	Friday
Pope	Oliphant Camp	Jumbo Kingdom	Saturday
Pope	Oliphant Camp	Animal Planet Zoo	Sunday
Floyd	Trunk Inn	Trunk Water Park	Friday
Floyd	Trunk Inn	Jumbo Kingdom	Saturday
Floyd	Trunk Inn	Jumbo Kingdom	Sunday
Osborne	Elephant Lodge	Trunk Water Park	Friday
Osborne	Elephant Lodge	Jumbo Studios	Saturday
Osborne	Elephant Lodge	Jumbo Kingdom	Sunday
Paul	Loxodon Lodge	Animal Planet Zoo	Friday
Paul	Loxodon Lodge	Jumbo Kingdom	Saturday
Paul	Loxodon Lodge	World's Fair	Sunday
Mccarthy	Tusk Hotel	Animal Planet Zoo	Friday
Mccarthy	Tusk Hotel	Jumbo Kingdom	Saturday
Mccarthy	Tusk Hotel	Jumbo Kingdom	Sunday
Guerrero	Trunk Inn	Jumbo Studios	Friday
Guerrero	Trunk Inn	Jumbo Kingdom	Saturday
Guerrero	Trunk Inn	World's Fair	Sunday
Lindsey	Trunk Inn	World's Fair	Friday
Lindsey	Trunk Inn	Jumbo Kingdom	Saturday
Lindsey	Trunk Inn	Animal Planet Zoo	Sunday
Estrada	Mammoth Motel	Jumbo Studios	Friday
Estrada	Mammoth Motel	Jumbo Kingdom	Saturday
Estrada	Mammoth Motel	World's Fair	Sunday
Sandoval	Elephant Lodge	Trunk Water Park	Friday
Sandoval	Elephant Lodge	Trunk Water Park	Saturday
Sandoval	Elephant Lodge	Jumbo Kingdom	Sunday
Gibbs	Tusk Hotel	Jumbo Kingdom	Friday
Gibbs	Tusk Hotel	World's Fair	Saturday
Gibbs	Tusk Hotel	Jumbo Golf Course	Sunday
Tyler	Oliphant Camp	Jumbo Studios	Friday
Tyler	Oliphant Camp	World's Fair	Saturday
Tyler	Oliphant Camp	Jumbo Kingdom	Sunday
Gross	Oliphant Camp	World's Fair	Friday
Gross	Oliphant Camp	World's Fair	Saturday
Gross	Oliphant Camp	World's Fair	Sunday
Fitzgerald	Elephant Lodge	Trunk Water Park	Friday
Fitzgerald	Elephant Lodge	Jumbo Kingdom	Saturday
Fitzgerald	Elephant Lodge	Jumbo Kingdom	Sunday
Stokes	Mouse Resort	Jumbo Studios	Friday
Stokes	Mouse Resort	Trunk Water Park	Saturday
Stokes	Mouse Resort	Jumbo Golf Course	Sunday
Doyle	Tusk Hotel	Jumbo Kingdom	Friday
Doyle	Tusk Hotel	Jumbo Studios	Saturday
Doyle	Tusk Hotel	Animal Planet Zoo	Sunday
Sherman	Elephant Lodge	Trunk Water Park	Friday
Sherman	Elephant Lodge	Jumbo Studios	Saturday
Sherman	Elephant Lodge	Animal Planet Zoo	Sunday
Saunders	Trunk Inn	Jumbo Kingdom	Friday
Saunders	Trunk Inn	World's Fair	Saturday
Saunders	Trunk Inn	World's Fair	Sunday
Wise	Pachyderm Suites	World's Fair	Friday
Wise	Pachyderm Suites	Jumbo Kingdom	Saturday
Wise	Pachyderm Suites	Jumbo Studios	Sunday
Colon	Elephant Lodge	Jumbo Studios	Friday
Colon	Elephant Lodge	Jumbo Studios	Saturday
Colon	Elephant Lodge	World's Fair	Sunday
Gill	Mammoth Motel	Jumbo Studios	Friday
Gill	Mammoth Motel	Jumbo Kingdom	Saturday
Gill	Mammoth Motel	Animal Planet Zoo	Sunday
Alvarado	Tusk Hotel	Jumbo Kingdom	Friday
Alvarado	Tusk Hotel	Animal Planet Zoo	Saturday
Alvarado	Tusk Hotel	Animal Planet Zoo	Sunday
Greer	Elephant Lodge	Trunk Water Park	Friday
Greer	Elephant Lodge	Jumbo Golf Course	Saturday
Greer	Elephant Lodge	Animal Planet Zoo	Sunday
Padilla	Mammoth Motel	Trunk Water Park	Friday
Padilla	Mammoth Motel	Jumbo Kingdom	Saturday
Padilla	Mammoth Motel	Animal Planet Zoo	Sunday
Simon	Loxodon Lodge	Jumbo Kingdom	Friday
Simon	Loxodon Lodge	Animal Planet Zoo	Saturday
Simon	Loxodon Lodge	Trunk Water Park	Sunday
Waters	Trunk Inn	Jumbo Studios	Friday
Waters	Trunk Inn	Jumbo Golf Course	Saturday
Waters	Trunk Inn	Jumbo Kingdom	Sunday
Nunez	Mouse Resort	Animal Planet Zoo	Friday
Nunez	Mouse Resort	Jumbo Golf Course	Saturday
Nunez	Mouse Resort	Jumbo Golf Course	Sunday
Ballard	Oliphant Camp	Jumbo Kingdom	Friday
Ballard	Oliphant Camp	World's Fair	Saturday
Ballard	Oliphant Camp	Animal Planet Zoo	Sunday
Schwartz	Oliphant Camp	Jumbo Studios	Friday
Schwartz	Oliphant Camp	Jumbo Kingdom	Saturday
Schwartz	Oliphant Camp	Jumbo Golf Course	Sunday
Mcbride	Loxodon Lodge	Animal Planet Zoo	Friday
Mcbride	Loxodon Lodge	Jumbo Studios	Saturday
Mcbride	Loxodon Lodge	World's Fair	Sunday
Houston	Mouse Resort	Jumbo Golf Course	Friday
Houston	Mouse Resort	Animal Planet Zoo	Saturday
Houston	Mouse Resort	Jumbo Kingdom	Sunday
Christensen	Tusk Hotel	Jumbo Kingdom	Friday
Christensen	Tusk Hotel	World's Fair	Saturday
Christensen	Tusk Hotel	Jumbo Studios	Sunday
Klein	Mammoth Motel	Jumbo Kingdom	Friday
Klein	Mammoth Motel	Jumbo Studios	Saturday
Klein	Mammoth Motel	Trunk Water Park	Sunday
Pratt	Pachyderm Suites	Jumbo Studios	Friday
Pratt	Pachyderm Suites	World's Fair	Saturday
Pratt	Pachyderm Suites	Jumbo Kingdom	Sunday
Briggs	Elephant Lodge	World's Fair	Friday
Briggs	Elephant Lodge	Trunk Water Park	Saturday
Briggs	Elephant Lodge	Trunk Water Park	Sunday
Parsons	Trunk Inn	Jumbo Studios	Friday
Parsons	Trunk Inn	Jumbo Kingdom	Saturday
Parsons	Trunk Inn	Animal Planet Zoo	Sunday
Mclaughlin	Mammoth Motel	World's Fair	Friday
Mclaughlin	Mammoth Motel	Jumbo Studios	Saturday
Mclaughlin	Mammoth Motel	Animal Planet Zoo	Sunday
Zimmerman	Loxodon Lodge	World's Fair	Friday
Zimmerman	Loxodon Lodge	Jumbo Studios	Saturday
Zimmerman	Loxodon Lodge	Animal Planet Zoo	Sunday
French	Mouse Resort	Jumbo Kingdom	Friday
French	Mouse Resort	Jumbo Studios	Saturday
French	Mouse Resort	Animal Planet Zoo	Sunday
Buchanan	Loxodon Lodge	Animal Planet Zoo	Friday
Buchanan	Loxodon Lodge	World's Fair	Saturday
Buchanan	Loxodon Lodge	Jumbo Golf Course	Sunday
Moran	Trunk Inn	Jumbo Kingdom	Friday
Moran	Trunk Inn	Animal Planet Zoo	Saturday
Moran	Trunk Inn	Trunk Water Park	Sunday
Copeland	Tusk Hotel	World's Fair	Friday
Copeland	Tusk Hotel	Jumbo Studios	Saturday
Copeland	Tusk Hotel	Jumbo Kingdom	Sunday
Roy	Trunk Inn	Jumbo Studios	Friday
Roy	Trunk Inn	Jumbo Kingdom	Saturday
Roy	Trunk Inn	Jumbo Golf Course	Sunday
Pittman	Trunk Inn	Jumbo Studios	Friday
Pittman	Trunk Inn	Trunk Water Park	Saturday
Pittman	Trunk Inn	Jumbo Kingdom	Sunday
Brady	Pachyderm Suites	Jumbo Studios	Friday
Brady	Pachyderm Suites	World's Fair	Saturday
Brady	Pachyderm Suites	World's Fair	Sunday
Mccormick	Tusk Hotel	Animal Planet Zoo	Friday
Mccormick	Tusk Hotel	Jumbo Studios	Saturday
Mccormick	Tusk Hotel	Trunk Water Park	Sunday
Holloway	Tusk Hotel	Jumbo Golf Course	Friday
Holloway	Tusk Hotel	World's Fair	Saturday
Holloway	Tusk Hotel	Trunk Water Park	Sunday
Brock	Mammoth Motel	World's Fair	Friday
Brock	Mammoth Motel	Jumbo Kingdom	Saturday
Brock	Mammoth Motel	Animal Planet Zoo	Sunday
Poole	Mouse Resort	Animal Planet Zoo	Friday
Poole	Mouse Resort	Jumbo Kingdom	Saturday
Poole	Mouse Resort	Jumbo Studios	Sunday
Frank	Mouse Resort	Jumbo Golf Course	Friday
Frank	Mouse Resort	Jumbo Golf Course	Saturday
Frank	Mouse Resort	Animal Planet Zoo	Sunday
Logan	Tusk Hotel	Trunk Water Park	Friday
Logan	Tusk Hotel	World's Fair	Saturday
Logan	Tusk Hotel	World's Fair	Sunday
Owen	Mammoth Motel	Jumbo Studios	Friday
Owen	Mammoth Motel	World's Fair	Saturday
Owen	Mammoth Motel	Jumbo Golf Course	Sunday
Bass	Tusk Hotel	Jumbo Kingdom	Friday
Bass	Tusk Hotel	Trunk Water Park	Saturday
Bass	Tusk Hotel	Trunk Water Park	Sunday
Marsh	Mammoth Motel	Jumbo Studios	Friday
Marsh	Mammoth Motel	Jumbo Kingdom	Saturday
Marsh	Mammoth Motel	Trunk Water Park	Sunday
Drake	Mammoth Motel	Jumbo Studios	Friday
Drake	Mammoth Motel	Jumbo Studios	Saturday
Drake	Mammoth Motel	Jumbo Golf Course	Sunday
Wong	Loxodon Lodge	Trunk Water Park	Friday
Wong	Loxodon Lodge	Jumbo Studios	Saturday
Wong	Loxodon Lodge	Jumbo Kingdom	Sunday
Jefferson	Oliphant Camp	Jumbo Kingdom	Friday
Jefferson	Oliphant Camp	Jumbo Kingdom	Saturday
Jefferson	Oliphant Camp	Jumbo Golf Course	Sunday
Park	Elephant Lodge	Jumbo Studios	Friday
Park	Elephant Lodge	World's Fair	Saturday
Park	Elephant Lodge	Animal Planet Zoo	Sunday
Morton	Trunk Inn	Jumbo Studios	Friday
Morton	Trunk Inn	World's Fair	Saturday
Morton	Trunk Inn	World's Fair	Sunday
Abbott	Oliphant Camp	Jumbo Studios	Friday
Abbott	Oliphant Camp	Jumbo Studios	Saturday
Abbott	Oliphant Camp	Jumbo Studios	Sunday
Sparks	Loxodon Lodge	Animal Planet Zoo	Friday
Sparks	Loxodon Lodge	World's Fair	Saturday
Sparks	Loxodon Lodge	World's Fair	Sunday
Patrick	Oliphant Camp	Jumbo Kingdom	Friday
Patrick	Oliphant Camp	Jumbo Kingdom	Saturday
Patrick	Oliphant Camp	Jumbo Kingdom	Sunday
Norton	Pachyderm Suites	World's Fair	Friday
Norton	Pachyderm Suites	Trunk Water Park	Saturday
Norton	Pachyderm Suites	Jumbo Kingdom	Sunday
Huff	Trunk Inn	Animal Planet Zoo	Friday
Huff	Trunk Inn	Jumbo Studios	Saturday
Huff	Trunk Inn	Jumbo Studios	Sunday
Clayton	Pachyderm Suites	Jumbo Studios	Friday
Clayton	Pachyderm Suites	Animal Planet Zoo	Saturday
Clayton	Pachyderm Suites	Animal Planet Zoo	Sunday
Massey	Trunk Inn	Jumbo Kingdom	Friday
Massey	Trunk Inn	Animal Planet Zoo	Saturday
Massey	Trunk Inn	World's Fair	Sunday
Lloyd	Oliphant Camp	Jumbo Golf Course	Friday
Lloyd	Oliphant Camp	World's Fair	Saturday
Lloyd	Oliphant Camp	Jumbo Kingdom	Sunday
Figueroa	Mammoth Motel	Jumbo Studios	Friday
Figueroa	Mammoth Motel	World's Fair	Saturday
Figueroa	Mammoth Motel	World's Fair	Sunday
Carson	Elephant Lodge	World's Fair	Friday
Carson	Elephant Lodge	Trunk Water Park	Saturday
Carson	Elephant Lodge	Jumbo Kingdom	Sunday
Bowers	Mouse Resort	Jumbo Golf Course	Friday
Bowers	Mouse Resort	Jumbo Golf Course	Saturday
Bowers	Mouse Resort	World's Fair	Sunday
Roberson	Mammoth Motel	World's Fair	Friday
Roberson	Mammoth Motel	Trunk Water Park	Saturday
Roberson	Mammoth Motel	Jumbo Studios	Sunday
Barton	Trunk Inn	Jumbo Kingdom	Friday
Barton	Trunk Inn	World's Fair	Saturday
Barton	Trunk Inn	World's Fair	Sunday
Tran	Tusk Hotel	Jumbo Kingdom	Friday
Tran	Tusk Hotel	Jumbo Kingdom	Saturday
Tran	Tusk Hotel	Jumbo Golf Course	Sunday
Lamb	Pachyderm Suites	World's Fair	Friday
Lamb	Pachyderm Suites	World's Fair	Saturday
Lamb	Pachyderm Suites	Jumbo Kingdom	Sunday
Harrington	Trunk Inn	Jumbo Kingdom	Friday
Harrington	Trunk Inn	Jumbo Studios	Saturday
Harrington	Trunk Inn	World's Fair	Sunday
Casey	Pachyderm Suites	World's Fair	Friday
Casey	Pachyderm Suites	Jumbo Kingdom	Saturday
Casey	Pachyderm Suites	Jumbo Kingdom	Sunday
Boone	Loxodon Lodge	World's Fair	Friday
Boone	Loxodon Lodge	Animal Planet Zoo	Saturday
Boone	Loxodon Lodge	Jumbo Studios	Sunday
Cortez	Pachyderm Suites	Jumbo Studios	Friday
Cortez	Pachyderm Suites	Jumbo Studios	Saturday
Cortez	Pachyderm Suites	World's Fair	Sunday
Clarke	Mammoth Motel	Jumbo Studios	Friday
Clarke	Mammoth Motel	Jumbo Studios	Saturday
Clarke	Mammoth Motel	Jumbo Studios	Sunday
Mathis	Tusk Hotel	World's Fair	Friday
Mathis	Tusk Hotel	World's Fair	Saturday
Mathis	Tusk Hotel	Jumbo Kingdom	Sunday
Singleton	Mammoth Motel	World's Fair	Friday
Singleton	Mammoth Motel	Trunk Water Park	Saturday
Singleton	Mammoth Motel	Jumbo Studios	Sunday
Wilkins	Pachyderm Suites	World's Fair	Friday
Wilkins	Pachyderm Suites	Jumbo Studios	Saturday
Wilkins	Pachyderm Suites	Jumbo Kingdom	Sunday
Cain	Mammoth Motel	World's Fair	Friday
Cain	Mammoth Motel	Jumbo Studios	Saturday
Cain	Mammoth Motel	Trunk Water Park	Sunday
Bryan	Mouse Resort	World's Fair	Friday
Bryan	Mouse Resort	World's Fair	Saturday
Bryan	Mouse Resort	Jumbo Golf Course	Sunday
Underwood	Trunk Inn	Animal Planet Zoo	Friday
Underwood	Trunk Inn	Animal Planet Zoo	Saturday
Underwood	Trunk Inn	Animal Planet Zoo	Sunday
Hogan	Tusk Hotel	Jumbo Kingdom	Friday
Hogan	Tusk Hotel	World's Fair	Saturday
Hogan	Tusk Hotel	Animal Planet Zoo	Sunday
Mckenzie	Pachyderm Suites	World's Fair	Friday
Mckenzie	Pachyderm Suites	Trunk Water Park	Saturday
Mckenzie	Pachyderm Suites	Jumbo Kingdom	Sunday
Collier	Loxodon Lodge	Jumbo Studios	Friday
Collier	Loxodon Lodge	World's Fair	Saturday
Collier	Loxodon Lodge	Trunk Water Park	Sunday
Luna	Mouse Resort	Jumbo Kingdom	Friday
Luna	Mouse Resort	Jumbo Golf Course	Saturday
Luna	Mouse Resort	Trunk Water Park	Sunday
Phelps	Elephant Lodge	Jumbo Studios	Friday
Phelps	Elephant Lodge	Animal Planet Zoo	Saturday
Phelps	Elephant Lodge	Trunk Water Park	Sunday
Mcguire	Trunk Inn	Animal Planet Zoo	Friday
Mcguire	Trunk Inn	Jumbo Kingdom	Saturday
Mcguire	Trunk Inn	Jumbo Studios	Sunday
Allison	Loxodon Lodge	Jumbo Studios	Friday
Allison	Loxodon Lodge	Trunk Water Park	Saturday
Allison	Loxodon Lodge	Trunk Water Park	Sunday
Bridges	Mouse Resort	World's Fair	Friday
Bridges	Mouse Resort	World's Fair	Saturday
Bridges	Mouse Resort	Jumbo Kingdom	Sunday
Wilkerson	Pachyderm Suites	Jumbo Kingdom	Friday
Wilkerson	Pachyderm Suites	World's Fair	Saturday
Wilkerson	Pachyderm Suites	Jumbo Studios	Sunday
Nash	Oliphant Camp	World's Fair	Friday
Nash	Oliphant Camp	Jumbo Kingdom	Saturday
Nash	Oliphant Camp	Trunk Water Park	Sunday
Summers	Pachyderm Suites	Trunk Water Park	Friday
Summers	Pachyderm Suites	Trunk Water Park	Saturday
Summers	Pachyderm Suites	Jumbo Studios	Sunday
Atkins	Trunk Inn	Jumbo Kingdom	Friday
Atkins	Trunk Inn	Jumbo Studios	Saturday
Atkins	Trunk Inn	World's Fair	Sunday
Wilcox	Tusk Hotel	Jumbo Kingdom	Friday
Wilcox	Tusk Hotel	Animal Planet Zoo	Saturday
Wilcox	Tusk Hotel	Animal Planet Zoo	Sunday
Pitts	Loxodon Lodge	World's Fair	Friday
Pitts	Loxodon Lodge	Jumbo Kingdom	Saturday
Pitts	Loxodon Lodge	Jumbo Kingdom	Sunday
Conley	Pachyderm Suites	Jumbo Kingdom	Friday
Conley	Pachyderm Suites	World's Fair	Saturday
Conley	Pachyderm Suites	Trunk Water Park	Sunday
Marquez	Pachyderm Suites	Jumbo Kingdom	Friday
Marquez	Pachyderm Suites	Jumbo Kingdom	Saturday
Marquez	Pachyderm Suites	World's Fair	Sunday
Burnett	Loxodon Lodge	Jumbo Studios	Friday
Burnett	Loxodon Lodge	World's Fair	Saturday
Burnett	Loxodon Lodge	Animal Planet Zoo	Sunday
Richard	Oliphant Camp	Jumbo Golf Course	Friday
Richard	Oliphant Camp	World's Fair	Saturday
Richard	Oliphant Camp	Jumbo Studios	Sunday
